//Taille
2
//parametre de taille
0 1
1 1
//l'intervalle de la temperature pour cémentite
298.15 1768.00 1811.00 2180.00 2896. 5000. 6000.00
//l'ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//t i j l valeur
4 1 1 4 0
4 1 1 5 -27585.344 
4 1 1 6 344.343
4 1 1 7 0
4 1 1 8 0
4 1 1 9 0
5 1 1 0 -50
5 1 1 1 -2.88526e32
5 1 1 2 0 
5 1 1 3 0
5 1 1 4 0
5 1 1 5 -27585.344 
5 1 1 6 344.343
5 1 1 7 0
5 1 1 8 0
5 1 1 9 0
6 1 1 0 -50
6 1 1 1 -2.88526e32
6 1 1 2 0 
6 1 1 3 0
6 1 1 4 0
6 1 1 5 -27585.344 
6 1 1 6 344.343
6 1 1 7 0
6 1 1 8 0
6 1 1 9 0
0 2 1 0 -23.56414
0 2 1 1 0
0 2 1 2 0
0 2 1 3 0
0 2 1 4 65812
0 2 1 5 7453.698
0 2 1 6 132.5497
0 2 1 7 -0.003443396
0 2 1 8 5.66283e-7
0 2 1 9 -1.30927e-10
1 2 1 0 -23.56414
1 2 1 1 0
1 2 1 2 0
1 2 1 3 0
1 2 1 4 65812
1 2 1 5 7453.698
1 2 1 6 132.5497
1 2 1 7 -0.003443396
1 2 1 8 5.66283e-7
1 2 1 9 -1.30927e-10
2 2 1 0 -23.56414
2 2 1 1 0
2 2 1 2 0
2 2 1 3 0
2 2 1 4 65812
2 2 1 5 7453.698
2 2 1 6 132.5497
2 2 1 7 -0.003443396
2 2 1 8 5.66283e-7
2 2 1 9 -1.30927e-10
3 2 1 0 -23.56414
3 2 1 1 0
3 2 1 2 0
3 2 1 3 0
3 2 1 4 65812
3 2 1 5 7453.698
3 2 1 6 132.5497
3 2 1 7 -0.003443396
3 2 1 8 5.66283e-7
3 2 1 9 -1.30927e-10
4 2 1 0 -42.63829
4 2 1 1 -4.849315e33
4 2 1 2 0
4 2 1 3 0
4 2 1 4 0
4 2 1 5 -15356.41
4 2 1 6 284.189746
4 2 1 7 0
4 2 1 8 0
4 2 1 9 0
5 2 1 0 -42.63829
5 2 1 1 -4.849315e33
5 2 1 2 0
5 2 1 3 0
5 2 1 4 0
5 2 1 5 -15356.41
