//Taille
2
//parametre de taille
0 1
1 3
//l'intervalle de la temperature pour ferrite
298.15 1768. 1811. 2180. 2896. 5000. 6000.
//ordre pour Gpower
-9 -3 -2 -1 0 1 2 3 4
//Taille pour GHSERp
7 4 2 10
//matrice GHSERp pour ferrite
//temperature i[Fe/Cr/Mo/Co] j[C/Va] l[l'ordre] valeur
1 3 0 5 178901.011
1 3 0 6 734.203
1 3 0 7 -14.169e-4
1 3 0 8 0
1 3 0 9 0
2 3 0 0 -113.4
2 3 0 1 9.3488e30
2 3 0 2 3.599e10
2 3 0 3 -7.929e8
2 3 0 4 7687800
2 3 0 5 178901.011
2 3 0 6 734.203
2 3 0 7 -14.169e-4
2 3 0 8 0
2 3 0 9 0
3 3 0 0 -113.4
3 3 0 1 9.3488e30
3 3 0 2 3.599e10
3 3 0 3 -7.929e8
3 3 0 4 7687800
3 3 0 5 178901.011
3 3 0 6 734.203
3 3 0 7 -14.169e-4
3 3 0 8 0
3 3 0 9 0
4 3 0 0 -113.4
4 3 0 1 9.3488e30
4 3 0 2 3.599e10
4 3 0 3 -7.929e8
4 3 0 4 7687800
4 3 0 5 178901.011
4 3 0 6 734.203
4 3 0 7 -14.169e-4
4 3 0 8 0
4 3 0 9 0
5 3 0 0 -113.4
5 3 0 1 9.3488e30
5 3 0 2 3.599e10
5 3 0 3 -7.929e8
5 3 0 4 7687800
5 3 0 5 178901.011
5 3 0 6 734.203
5 3 0 7 -14.169e-4
5 3 0 8 0
5 3 0 9 0
6 3 0 0 -113.4
6 3 0 1 9.3488e30
6 3 0 2 3.599e10
6 3 0 3 -7.929e8
6 3 0 4 7687800
6 3 0 5 178901.011
6 3 0 6 734.203
6 3 0 7 -14.169e-4
6 3 0 8 0
6 3 0 9 0
//l'ordre pour L1power
0 1
//Taille pour L1
7 4 3 2 3 3
//matrice L1 pour ferrite (Fe-Cr-Mo-Co-C/Va)
//temperature i[Fe/Cr/Mo/Co] j[C] k[Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 1 -1250000
0 0 1 0 0 2 667.7  
1 0 1 0 0 1 -1250000
1 0 1 0 0 2 667.7 
2 0 1 0 0 1 -1250000
2 0 1 0 0 2 667.7 
3 0 1 0 0 1 -1250000
3 0 1 0 0 2 667.7
4 0 1 0 0 1 -1250000
4 0 1 0 0 2 667.7
5 0 1 0 0 1 -1250000
5 0 1 0 0 2 667.7 
6 0 1 0 0 1 -1250000
6 0 1 0 0 2 667.7
0 0 1 1 0 1 20500
0 0 1 1 0 2 -9.68
1 0 1 1 0 1 20500
1 0 1 1 0 2 -9.68
2 0 1 1 0 1 20500
2 0 1 1 0 2 -9.68
3 0 1 1 0 1 20500
3 0 1 1 0 2 -9.68
4 0 1 1 0 1 20500
4 0 1 1 0 2 -9.68
5 0 1 1 0 1 20500
5 0 1 1 0 2 -9.68
6 0 1 1 0 1 20500
6 0 1 1 0 2 -9.68
0 1 2 1 0 1 28890
0 1 2 1 0 2 -7.962
0 1 2 1 1 1 5974
0 1 2 1 1 2 -2.428
1 1 2 1 0 1 28890
1 1 2 1 0 2 -7.962
1 1 2 1 1 1 5974
1 1 2 1 1 2 -2.428
2 1 2 1 0 1 28890
2 1 2 1 0 2 -7.962
2 1 2 1 1 1 5974
2 1 2 1 1 2 -2.428
3 1 2 1 0 1 28890
3 1 2 1 0 2 -7.962
3 1 2 1 1 1 5974
3 1 2 1 1 2 -2.428
4 1 2 1 0 1 28890
4 1 2 1 0 2 -7.962
4 1 2 1 1 1 5974
4 1 2 1 1 2 -2.428
5 1 2 1 0 1 28890
5 1 2 1 0 2 -7.962
5 1 2 1 1 1 5974
5 1 2 1 1 2 -2.428
6 1 2 1 0 1 28890
6 1 2 1 0 2 -7.962
6 1 2 1 1 1 5974
6 1 2 1 1 2 -2.428
0 0 2 1 0 1 36818
0 0 2 1 0 2 -9.141
0 0 2 1 1 1 -362
0 0 2 1 1 2 -5.724
1 0 2 1 0 1 36818
1 0 2 1 0 2 -9.141
1 0 2 1 1 1 -362
1 0 2 1 1 2 -5.724
2 0 2 1 0 1 36818
2 0 2 1 0 2 -9.141
2 0 2 1 1 1 -362
2 0 2 1 1 2 -5.724
3 0 2 1 0 1 36818
3 0 2 1 0 2 -9.141
3 0 2 1 1 1 -362
3 0 2 1 1 2 -5.724
4 0 2 1 0 1 36818
4 0 2 1 0 2 -9.141
4 0 2 1 1 1 -362
4 0 2 1 1 2 -5.724
5 0 2 1 0 1 36818
5 0 2 1 0 2 -9.141
5 0 2 1 1 1 -362
5 0 2 1 1 2 -5.724
6 0 2 1 0 1 36818
6 0 2 1 0 2 -9.141
6 0 2 1 1 1 -362
6 0 2 1 1 2 -5.724
0 0 2 0 0 1 -1250000
0 0 2 0 0 2 667.7
1 0 2 0 0 1 -1250000
1 0 2 0 0 2 667.7
2 0 2 0 0 1 -1250000
2 0 2 0 0 2 667.7
3 0 2 0 0 1 -1250000
3 0 2 0 0 2 667.7
4 0 2 0 0 1 -1250000
4 0 2 0 0 2 667.7
5 0 2 0 0 1 -1250000
5 0 2 0 0 2 667.7
6 0 2 0 0 1 -1250000
6 0 2 0 0 2 667.7
0 3 1 0 0 1 24357
0 3 1 0 0 2 -19.797
0 3 1 0 1 1 -2010
1 3 1 0 0 1 24357
1 3 1 0 0 2 -19.797
1 3 1 0 1 1 -2010
2 3 1 0 0 1 24357
2 3 1 0 0 2 -19.797
2 3 1 0 1 1 -2010
3 3 1 0 0 1 24357
3 3 1 0 0 2 -19.797
3 3 1 0 1 1 -2010
4 3 1 0 0 1 24357
4 3 1 0 0 2 -19.797
4 3 1 0 1 1 -2010
5 3 1 0 0 1 24357
5 3 1 0 0 2 -19.797
5 3 1 0 1 1 -2010
6 3 1 0 0 1 24357
6 3 1 0 0 2 -19.797
6 3 1 0 1 1 -2010
0 3 1 1 0 1 24357
0 3 1 1 0 2 -19.797
0 3 1 1 1 1 -2010
1 3 1 1 0 1 24357
1 3 1 1 0 2 -19.797
1 3 1 1 1 1 -2010
2 3 1 1 0 1 24357
2 3 1 1 0 2 -19.797
2 3 1 1 1 1 -2010
3 3 1 1 0 1 24357
3 3 1 1 0 2 -19.797
3 3 1 1 1 1 -2010
4 3 1 1 0 1 24357
4 3 1 1 0 2 -19.797
4 3 1 1 1 1 -2010
5 3 1 1 0 1 24357
5 3 1 1 0 2 -19.797
5 3 1 1 1 1 -2010
6 3 1 1 0 1 24357
6 3 1 1 0 2 -19.797
6 3 1 1 1 1 -2010
0 3 0 1 0 0 -12.7886
0 3 0 1 0 1 -23669
0 3 0 1 0 2 103.9627
1 3 0 1 0 0 -12.7886
1 3 0 1 0 1 -23669
1 3 0 1 0 2 103.9627
2 3 0 1 0 0 -12.7886
2 3 0 1 0 1 -23669
2 3 0 1 0 2 103.9627
3 3 0 1 0 0 -12.7886
3 3 0 1 0 1 -23669
3 3 0 1 0 2 103.9627
4 3 0 1 0 0 -12.7886
4 3 0 1 0 1 -23669
4 3 0 1 0 2 103.9627
5 3 0 1 0 0 -12.7886
5 3 0 1 0 1 -23669
5 3 0 1 0 2 103.9627
6 3 0 1 0 0 -12.7886
6 3 0 1 0 1 -23669
6 3 0 1 0 2 103.9627
0 3 2 1 0 1 64000
0 3 2 1 0 2 -17
1 3 2 1 0 1 64000
1 3 2 1 0 2 -17
2 3 2 1 0 1 64000
2 3 2 1 0 2 -17
3 3 2 1 0 1 64000
3 3 2 1 0 2 -17
4 3 2 1 0 1 64000
4 3 2 1 0 2 -17
5 3 2 1 0 1 64000
5 3 2 1 0 2 -17
6 3 2 1 0 1 64000
6 3 2 1 0 2 -17
//l'ordre pour L2power
0 1  
//Taille pour L2
7 1 2 4 1 3
//matrice L2 pour ferrite (C-Va-Fe/Cr/Mo/Co)
//temperature i[C/Va] j[Fe] k[Cr] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 2 -190
1 0 1 0 0 2 -190
2 0 1 0 0 2 -190
3 0 1 0 0 2 -190
4 0 1 0 0 2 -190
5 0 1 0 0 2 -190
6 0 1 0 0 2 -190
0 0 1 1 0 2 -190
1 0 1 1 0 2 -190
2 0 1 1 0 2 -190
3 0 1 1 0 2 -190
4 0 1 1 0 2 -190
5 0 1 1 0 2 -190
6 0 1 1 0 2 -190
//l'ordre pour L3power
0 0
//Taille pour L3ini
7 4 2 3 2 1 2
//matrice L3ini pour ferrite (Fe-Cr-Mo-Co-C/Va)
0 0 0 0 0 0 0 0
//l'ordre pour L0power
0
//Taille pour L0
7 1 1 1 1 1 1
//matrice L0 pour ferrite (Fe-Cr-C-Va)
//temperature i[Fe] j[Cr] k[C] l[Va] m[l'ordre] n[l'ordre pour polynom] valeur
0 0 0 0 0 0 0 0
//l'ordre pour TCpower
0
//Taille pour TC
7 4 2 2
//matrice TC pour ferrite
//temperature i[Fe/Cr] j[C/Va] l[l'ordre] valeur
0 0 0 1 1043
1 0 0 1 1043
2 0 0 1 1043
3 0 0 1 1043
4 0 0 1 1043
5 0 0 1 1043
6 0 0 1 1043
0 0 1 1 1043
1 0 1 1 1043
2 0 1 1 1043
3 0 1 1 1043
4 0 1 1 1043
5 0 1 1 1043
6 0 1 1 1043
0 1 1 1 -311.5
1 1 1 1 -311.5
2 1 1 1 -311.5
3 1 1 1 -311.5
4 1 1 1 -311.5
5 1 1 1 -311.5
6 1 1 1 -311.5
0 1 0 1 -311.5
1 1 0 1 -311.5
2 1 0 1 -311.5
3 1 0 1 -311.5
4 1 0 1 -311.5
5 1 0 1 -311.5
6 1 0 1 -311.5
0 3 1 1 1450
1 3 1 1 1450
2 3 1 1 1450
3 3 1 1 1450
4 3 1 1 1450
5 3 1 1 1450
6 3 1 1 1450
//l'ordre pour TC1power
0
//Taille pour TC1
7 4 3 2 2 2
//matrice TC1 pour ferrite (Fe-Cr-Mo-C/Va)
//temperature i[Fe] j[Cr] k[C/Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 0 0 1 1650
1 0 1 0 0 1 1650
2 0 1 0 0 1 1650  
3 0 1 0 0 1 1650
4 0 1 0 0 1 1650
5 0 1 0 0 1 1650
6 0 1 0 0 1 1650
0 0 1 0 1 1 550
1 0 1 0 1 1 550
2 0 1 0 1 1 550  
3 0 1 0 1 1 550
4 0 1 0 1 1 550
5 0 1 0 1 1 550
6 0 1 0 1 1 550
0 0 1 1 0 1 1650
1 0 1 1 0 1 1650
2 0 1 1 0 1 1650
3 0 1 1 0 1 1650
4 0 1 1 0 1 1650
5 0 1 1 0 1 1650
6 0 1 1 0 1 1650
0 0 1 1 1 1 550
1 0 1 1 1 1 550
2 0 1 1 1 1 550
3 0 1 1 1 1 550
4 0 1 1 1 1 550
5 0 1 1 1 1 550
6 0 1 1 1 1 550
0 0 2 1 0 1 335
0 0 2 1 1 1 526
1 0 2 1 0 1 335
1 0 2 1 1 1 526
2 0 2 1 0 1 335
2 0 2 1 1 1 526
3 0 2 1 0 1 335
3 0 2 1 1 1 526
4 0 2 1 0 1 335
4 0 2 1 1 1 526
5 0 2 1 0 1 335
5 0 2 1 1 1 526
6 0 2 1 0 1 335
6 0 2 1 1 1 526
0 0 2 0 0 1 335
0 0 2 0 1 1 526
1 0 2 0 0 1 335
1 0 2 0 1 1 526
2 0 2 0 0 1 335
2 0 2 0 1 1 526
3 0 2 0 0 1 335
3 0 2 0 1 1 526
4 0 2 0 0 1 335
4 0 2 0 1 1 526
5 0 2 0 0 1 335
5 0 2 0 1 1 526
6 0 2 0 0 1 335
6 0 2 0 1 1 526
0 3 0 1 0 1 590
1 3 0 1 0 1 590
2 3 0 1 0 1 590
3 3 0 1 0 1 590
4 3 0 1 0 1 590
5 3 0 1 0 1 590
6 3 0 1 0 1 590
//l'ordre pour BMAGpower
0
//Taille pour BMAG
7 4 2 2
//matrice BMAG pour ferrite
//temperature i[Fe/Cr/Mo] j[C/Va] l[ordre] valeur
0 0 0 1 2.22
1 0 0 1 2.22
2 0 0 1 2.22
3 0 0 1 2.22
4 0 0 1 2.22
5 0 0 1 2.22
6 0 0 1 2.22
0 0 1 1 2.22
1 0 1 1 2.22
2 0 1 1 2.22
3 0 1 1 2.22
4 0 1 1 2.22
5 0 1 1 2.22
6 0 1 1 2.22
0 1 0 1 -0.008
1 1 0 1 -0.008
2 1 0 1 -0.008
3 1 0 1 -0.008
4 1 0 1 -0.008
5 1 0 1 -0.008
6 1 0 1 -0.008
0 1 1 1 -0.01
1 1 1 1 -0.01
2 1 1 1 -0.01
3 1 1 1 -0.01
4 1 1 1 -0.01
5 1 1 1 -0.01
6 1 1 1 -0.01
0 3 1 1 1.35
1 3 1 1 1.35
2 3 1 1 1.35
3 3 1 1 1.35
4 3 1 1 1.35
5 3 1 1 1.35
6 3 1 1 1.35
//l'ordre pour BMAG1power
0
//Taille pour BMAG1
7 4 2 2 2 2
//matrice BMAG1 pour ferrite (Fe-Cr-C/Va)
//teperature i[Fe] j[Cr] k[C/Va] l[l'ordre] m[l'ordre pour polynom] valeur
0 0 1 1 0 1 -0.85
1 0 1 1 0 1 -0.85
2 0 1 1 0 1 -0.85  
3 0 1 1 0 1 -0.85
4 0 1 1 0 1 -0.85
5 0 1 1 0 1 -0.85
6 0 1 1 0 1 -0.85
0 0 1 0 0 1 -0.85
1 0 1 0 0 1 -0.85
2 0 1 0 0 1 -0.85
3 0 1 0 0 1 -0.85
4 0 1 0 0 1 -0.85
5 0 1 0 0 1 -0.85
6 0 1 0 0 1 -0.85
0 3 0 1 0 1 2.4127
0 3 0 1 1 1 0.2418
1 3 0 1 0 1 2.4127
1 3 0 1 1 1 0.2418
2 3 0 1 0 1 2.4127
2 3 0 1 1 1 0.2418
3 3 0 1 0 1 2.4127
3 3 0 1 1 1 0.2418
4 3 0 1 0 1 2.4127
4 3 0 1 1 1 0.2418
5 3 0 1 0 1 2.4127
5 3 0 1 1 1 0.2418
6 3 0 1 0 1 2.4127
6 3 0 1 1 1 0.2418
//parametre p
0.4 1.
